6	1	5
73	1	1
164	1	4
170	1	1
316	1	5
486	1	5
494	1	1
507	1	6
847	1	8
996	1	3
1043	1	1
1148	1	7
1494	1	8
1638	1	3
1650	1	7
1698	1	7
1843	1	5
2085	1	1
2107	1	3
2323	1	1
2915	1	3
3115	1	8
3476	1	9
3483	1	9
3573	1	1
3613	1	3
3743	1	4
3748	1	7
3771	1	4
3803	1	3
3959	1	7
4264	1	8
4402	1	7
4410	1	7
4446	1	4
4938	1	6
124	2	4
132	2	9
163	2	7
322	2	6
674	2	8
792	2	10
825	2	10
843	2	9
874	2	2
900	2	4
1037	2	8
1104	2	7
1191	2	2
1232	2	5
1344	2	5
1366	2	6
1588	2	8
1672	2	8
1758	2	9
1881	2	7
2177	2	1
2275	2	2
2875	2	5
3224	2	5
3271	2	2
3512	2	6
4032	2	4
4112	2	7
4315	2	1
4368	2	6
4422	2	6
4504	2	9
4607	2	6
4851	2	10
4924	2	6
475	3	6
522	3	10
694	3	9
727	3	10
766	3	2
780	3	5
837	3	1
883	3	3
991	3	7
1055	3	2
1140	3	7
1158	3	1
1314	3	9
1358	3	7
1477	3	8
1838	3	4
1899	3	8
2447	3	6
2491	3	5
2577	3	1
2614	3	2
2689	3	10
2740	3	7
2924	3	8
2931	3	9
3076	3	10
3107	3	10
3115	3	1
3145	3	5
3198	3	6
3249	3	10
3358	3	1
3485	3	6
3498	3	3
3534	3	10
3594	3	7
3609	3	2
3622	3	9
3700	3	4
3718	3	6
3749	3	6
3752	3	6
3909	3	8
3918	3	3
3933	3	6
4124	3	3
4267	3	3
4577	3	5
4654	3	3
4682	3	6
4694	3	10
4780	3	8
4993	3	1
351	4	1
388	4	2
416	4	8
446	4	4
536	4	9
752	4	2
913	4	7
1019	4	3
1040	4	10
1073	4	6
1167	4	1
1187	4	4
1437	4	10
1684	4	6
1875	4	5
1898	4	1
1920	4	9
1963	4	4
2009	4	1
2026	4	5
2121	4	9
2201	4	2
2231	4	2
2386	4	1
2400	4	7
2527	4	1
2622	4	5
2624	4	3
2903	4	5
3024	4	4
3124	4	8
3167	4	1
3217	4	7
3273	4	7
3383	4	8
3613	4	4
3642	4	2
3996	4	7
4014	4	9
4032	4	1
4081	4	4
4400	4	10
4586	4	2
4839	4	10
4897	4	2
4902	4	4
4918	4	4
4967	4	3
4997	4	2
3	5	9
91	5	5
125	5	4
162	5	1
275	5	9
372	5	8
442	5	9
487	5	2
609	5	7
907	5	9
955	5	8
1037	5	2
1279	5	8
1377	5	2
1561	5	9
1678	5	8
1781	5	2
1842	5	7
1869	5	5
2122	5	9
2125	5	7
2134	5	10
2382	5	4
2389	5	7
2554	5	4
2556	5	9
2600	5	9
2758	5	10
2789	5	9
2843	5	2
2878	5	7
2879	5	1
2887	5	8
3060	5	5
3074	5	6
3289	5	10
3336	5	2
3409	5	10
3463	5	8
3628	5	5
3881	5	2
3900	5	3
4060	5	5
4160	5	6
4261	5	5
4426	5	5
4692	5	6
4791	5	3
734	6	1
1051	6	2
1059	6	10
1174	6	9
1235	6	2
1778	6	7
1880	6	7
1912	6	4
1955	6	4
2100	6	7
2181	6	10
2219	6	6
2276	6	3
2537	6	2
2590	6	3
2679	6	6
2708	6	4
3130	6	10
3276	6	9
3316	6	5
3325	6	10
3343	6	8
3348	6	6
3439	6	3
3454	6	9
3456	6	6
3485	6	9
3867	6	1
3998	6	9
4057	6	8
4087	6	10
4112	6	4
4224	6	1
4305	6	2
4313	6	2
4658	6	2
4693	6	3
4773	6	10
4842	6	4
4925	6	7
4930	6	3
4986	6	4
110	7	2
